label,source_file,rows
bavli,df_bm_csv.csv,34503
bavli,df_bb_csv.csv,33915
bavli,df_sab_csv.csv,33033
bavli,df_bq_csv.csv,31917
bavli,df_ket_csv.csv,28071
bavli,df_pes_csv.csv,26414
bavli,df_hul_csv.csv,25149
bavli,df_san_csv.csv,23825
bavli,df_yev_csv.csv,20854
bavli,df_git_csv.csv,17629
bavli,df_ber_csv.csv,17482
bavli,df_az_csv.csv,16030
bavli,df_er_csv.csv,15505
bavli,df_qid_csv.csv,12514
bavli,df_yom_csv.csv,11744
bavli,df_men_csv.csv,10344
bavli,df_nid_csv.csv,9270
bavli,df_bek_csv.csv,8660
bavli,df_zev_csv.csv,8611
yerushalmi,df_yer_ber_csv.csv,8292
bavli,df_meg_csv.csv,8041
bavli,df_ned_csv.csv,7593
yerushalmi,df_yer_sab_csv.csv,7256
yerushalmi,df_yer_san_csv.csv,7098
bavli,df_bes_csv.csv,6877
bavli,df_suk_csv.csv,6334
bavli,df_mq_csv.csv,6311
bavli,df_svu_csv.csv,6049
bavli,df_tan_csv.csv,5986
yerushalmi,df_yer_ket_csv.csv,5335
yerushalmi,df_yer_yev_csv.csv,5256
bavli,df_ker_csv.csv,5209
bavli,df_naz_csv.csv,4754
bavli,df_sot_csv.csv,4641
yerushalmi,df_yer_tan_csv.csv,4562
yerushalmi,df_yer_az_csv.csv,4465
bavli,df_hag_csv.csv,4390
bavli,df_rh_csv.csv,4264
bavli,df_ara_csv.csv,3936
yerushalmi,df_yer_qid_csv.csv,3923
yerushalmi,df_yer_svi_csv.csv,3371
yerushalmi,df_yer_kil_csv.csv,3127
yerushalmi,df_yer_pes_csv.csv,3109
yerushalmi,df_yer_ter_csv.csv,3041
yerushalmi,df_yer_git_csv.csv,3034
bavli,df_mak_csv.csv,2943
bavli,df_tem_csv.csv,2916
yerushalmi,df_yer_pea_csv.csv,2914
yerushalmi,df_yer_dem_csv.csv,2904
yerushalmi,df_yer_mq_csv.csv,2802
yerushalmi,df_yer_meg_csv.csv,2746
yerushalmi,df_yer_bm_csv.csv,2697
yerushalmi,df_yer_sot_csv.csv,2546
yerushalmi,df_yer_ned_csv.csv,2432
yerushalmi,df_yer_seq_csv.csv,2389
yerushalmi,df_yer_bb_csv.csv,2298
yerushalmi,df_yer_er_csv.csv,2252
yerushalmi,df_yer_bes_csv.csv,2058
bavli,df_hor_csv.csv,2029
yerushalmi,df_yer_naz_csv.csv,1944
yerushalmi,df_yer_hag_csv.csv,1886
yerushalmi,df_yer_svu_csv.csv,1872
yerushalmi,df_yer_ms_csv.csv,1836
yerushalmi,df_yer_yom_csv.csv,1831
yerushalmi,df_yer_bq_csv.csv,1757
yerushalmi,df_yer_suk_csv.csv,1750
yerushalmi,df_yer_rh_csv.csv,1602
bavli,df_meil_csv.csv,1390
yerushalmi,df_yer_nid_csv.csv,1191
yerushalmi,df_yer_hor_csv.csv,1051
yerushalmi,df_yer_mas_csv.csv,971
yerushalmi,df_yer_bik_csv.csv,956
yerushalmi,df_yer_hal_csv.csv,898
bavli,df_tam_csv.csv,878
yerushalmi,df_yer_or_csv.csv,766
yerushalmi,df_yer_mak_csv.csv,106
